ISBN,タイトル,著者,評価,読書状況,カテゴリ,タグ,登録日,読了日
9784152098702,三体,劉慈欣,5,読了,SF,宇宙 科学 文明,2025-01-03,2025-01-28
,三体II 黒暗森林,劉慈欣,5,読了,SF,宇宙 文明,2025-02-02,2025-03-01
,三体III 死神永生,劉慈欣,4,読了,SF,宇宙 文明,2025-03-05,2025-04-10
,星を継ぐもの,ジェイムズ・P・ホーガン,5,読了,SF,宇宙 科学,2024-10-01,2024-10-20
,月は無慈悲な夜の女王,ロバート・A・ハインライン,4,読了,SF,宇宙 社会,2024-08-01,2024-08-24
,虐殺器官,伊藤計劃,4,読了,SF,テクノロジー 文明,2024-06-01,2024-06-18
,ハーモニー,伊藤計劃,5,読了,SF,テクノロジー 社会,2024-07-01,2024-07-20
,新世界より,貴志祐介,4,読了,SF,文明 社会,2024-04-02,2024-05-08
,コスモス,カール・セーガン,5,読了,科学,宇宙 文明,2023-10-01,2023-11-10
,宇宙を織りなすもの,ブライアン・グリーン,4,読了,科学,宇宙 物理,2023-07-01,2023-08-15
,時間は存在しない,カルロ・ロヴェッリ,4,読了,科学,物理 時間,2024-01-10,2024-01-25
,世界を変えた10冊の本,池上彰,3,読了,教育,歴史 文明,2023-04-01,2023-04-17
,イシューからはじめよ,安宅和人,4,読了,仕事,学習 思考,2023-02-01,2023-02-12
,具体と抽象,細谷功,4,読了,教育,思考 学習,2023-01-05,2023-01-12
,失敗の本質,日本軍研究,3,読了,歴史,組織 戦略,2022-11-01,2022-12-04
,教育の力,苫野一徳,4,読了,教育,学習 社会,2022-09-01,2022-09-20
,吾輩は猫である,夏目漱石,2,読了,文学,古典,2022-06-01,2022-07-10
,罪と罰,ドストエフスキー,1,積読,文学,古典,2022-04-01,
,ホモ・デウス,ユヴァル・ノア・ハラリ,,読んでいる,歴史,文明 テクノロジー,2025-05-01,
,AI 2041,カイフー・リー,,読みたい,テクノロジー,AI 社会,2025-05-10,
,教養としてのコンピューターサイエンス講義,ブライアン・カーニハン,,読みたい,科学,テクノロジー 教育,2025-05-12,
,百年の孤独,ガブリエル・ガルシア＝マルケス,,積読,文学,海外 幻想,2025-05-15,
